source_id,type,url,accessed_date,notes
src_johnkay_about,firm_website,https://www.johnkay.com/about/,2026-05-30,"John Kay's personal site, About page; first-party for London Economics founding."
src_ch_04083204,companies_house,https://find-and-update.company-information.service.gov.uk/company/04083204,2026-05-30,"LONDON ECONOMICS LIMITED; incorporated 4 Oct 2000 as HAMSARD 2219 LIMITED; renamed NEW LONDON ECONOMICS LIMITED 17 Nov 2000; renamed LONDON ECONOMICS LIMITED 22 Sep 2004."
src_nera_history,firm_website,https://www.nera.com/about/history.html,2026-05-30,"NERA's own history page; founding date and Marsh & McLennan acquisition."
src_cra_pr_london,press_release,https://crainternationalinc.gcs-web.com/news-releases/news-release-details/charles-river-associates-announces-opening-london-office,2026-05-30,"CRA press release dated 14 August 2000; announces 'official opening' of London office with three vice presidents and ~15 staff."
src_frontier_about,firm_website,https://www.frontier-economics.com/uk/en/about/who-we-are/,2026-05-30,"Frontier 'About' page; firm founded June 1999, employee-owned, original board."
src_frontier_founding,firm_website,https://www.frontier-economics.com/uk/en/news-and-insights/articles/article-i7811-wanting-to-be-different-how-we-created-frontier/,2026-05-30,"Simon Gaysford's first-person account of why Frontier was built."
src_oxera_about,firm_website,https://www.oxera.com/about-us/,2026-05-30,"Oxera 'About us'; founded 1982 as Oxford spin-out."
src_capeco_bootle,firm_website,https://www.capitaleconomics.com/about-us/our-team/roger-bootle,2026-05-30,"Roger Bootle bio at Capital Economics; founder, ex-HSBC Group Chief Economist."
src_ldc_capeco,news,https://www.ldc.co.uk/news-insights/2018/03/ldc-exits-investment-in-capital-economics-sale-to-phoenix-equity-partners,2026-05-30,"LDC press release; original minority investment in Capital Economics in October 2014."
src_gcr_nera_2002,news,https://globalcompetitionreview.com/insight/april-may-2002/1040317/top-economics-trio-leave-nera-in-the-lurch,2026-05-30,"GCR April/May 2002; 'Top economics trio leave NERA in the lurch.' Ridyard, Bishop, Baker depart."
src_ft_fti_lexecon,news,https://www.ft.com/content/4031e5ea-b8fa-416b-9c08-5ac1dc614e22,2026-05-30,"FT; FTI acquired Lexecon Dec 2003 (~$130m), COMPASS 2006 ($72m), combined Jan 2008 as Compass Lexecon LLC."
src_ch_oc315356,companies_house,https://find-and-update.company-information.service.gov.uk/company/OC315356,2026-05-30,"RBB ECONOMICS LLP; incorporated 26 Sep 2005."
src_wikipedia_john_kay,wikipedia,https://en.wikipedia.org/wiki/John_Kay_(economist),2026-05-30,"Secondary; supports Nick Morris as London Economics co-founder."
